Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
test_pet_info,118626,313,0,63391,"2490,92","97,753%","526,31205","1230,16","11,09","2393,4"
new_data,118398,271,0,63399,"2325,14","97,786%","525,85575","1229,13","10,93","2393,5"
get_test_user,118157,254,0,63416,"2280,25","97,860%","524,97890","1229,32","10,60","2397,9"
TOTAL,355181,279,0,63416,"2367,44","97,800%","1575,84376","3685,57","32,59","2394,9"
