Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,535,379,70,15419,"1849,84","1,495%","16,00120","3,17","2,32","203,0"
user_info_2,527,440,74,15455,"2079,61","1,898%","15,92337","7,80","11,97","501,6"
user_info_3,517,269,72,15457,"1333,73","0,774%","15,65860","5,90","11,92","386,1"
object_info_1,513,269,69,15455,"1340,39","0,780%","15,57992","3,76","2,48","247,3"
object_info_2,509,271,70,15419,"1344,24","0,786%","15,49703","7,26","2,49","479,6"
object_info_3,505,450,70,15442,"2120,40","1,980%","15,41138","8,47","2,45","563,0"
object_info_4,495,214,69,15446,"970,63","0,404%","15,14271","3,64","2,44","245,9"
get_test_user,493,401,72,15455,"1923,20","1,623%","15,11482","5,96","14,72","403,7"
TOTAL,4094,337,69,15457,"1673,16","1,221%","122,44654","45,23","49,98","378,3"
