Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,1008,6431,73,21073,"8767,89","27,381%","9,40764","7,88","1,01","858,1"
user_info_2,976,3281,79,20125,"4405,75","31,660%","9,08837","9,69","4,75","1091,5"
user_info_3,669,2535,73,20107,"4415,33","10,613%","6,23625","3,59","4,28","590,3"
object_info_1,606,2592,79,17225,"4594,52","9,241%","19,83179","8,42","2,88","434,8"
object_info_2,550,3505,76,17210,"5469,23","14,727%","18,05884","13,33","2,50","755,9"
object_info_3,469,4331,84,17173,"6116,64","20,043%","15,44084","13,72","2,00","910,0"
object_info_4,375,3845,82,17232,"5780,43","17,600%","12,37991","7,57","1,65","625,8"
get_test_user,309,3552,92,17220,"5706,72","17,152%","10,23619","7,26","8,39","726,0"
TOTAL,4962,3920,73,21073,"6158,33","20,274%","46,17360","35,35","14,94","784,0"
