Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,644,1408,71,18131,"3756,08","4,969%","20,08233","5,53","2,81","282,1"
user_info_2,612,1729,72,18141,"4384,11","7,026%","19,16093","11,29","13,66","603,3"
user_info_3,569,1565,74,18140,"4022,18","5,800%","17,86219","8,55","12,92","490,4"
object_info_1,536,1359,71,18121,"3643,02","4,664%","16,87604","5,49","2,58","333,4"
object_info_2,511,1314,72,18092,"3359,65","3,914%","16,13107","8,53","2,51","541,6"
object_info_3,491,1582,71,18144,"3961,43","5,703%","15,53453","9,63","2,37","634,5"
object_info_4,463,1957,73,18141,"4675,39","7,991%","14,68163","5,93","2,19","413,5"
get_test_user,426,1864,77,18101,"4489,73","7,512%","13,54316","6,96","12,37","525,9"
TOTAL,4252,1583,71,18144,"4044,20","5,880%","132,58910","61,28","50,92","473,3"
